sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1393979,S011002-059_CLOFIBRATE_130 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96620.CEL,Clofibrate,130 mg/kg,7 d,Corn Oil,Liver,False,KNHUKKLJHYUCFP,True,True,drugmatrix_liver
GSM1393980,S011106-282_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96621.CEL,Doxorubicin,3 mg/kg,1 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393981,S011106-288_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96622.CEL,Doxorubicin,3 mg/kg,5 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393982,CVD040520-116_N-NITROSODIMETHYLAMINE_10 mg/kg_INTRAPERITONEAL_SALINE_5 d_Male_96623.CEL,N-Nitrosodimethylamine,10 mg/kg,5 d,Saline,Liver,False,UMFJAHHVKNCGLG,True,True,drugmatrix_liver
GSM1393983,S011106-231_INTRAVENOUS_SALINE_3 d_Male_96625.CEL,,0 mg/kg,3 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393984,S011106-270_DOXORUBICIN_.65 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96626.CEL,Doxorubicin,0.65 mg/kg,1 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393985,S020506-283_EPIRUBICIN_2.7 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96627.CEL,Epirubicin,2.7 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393986,S020415-303_BALSALAZIDE_1100 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96628.CEL,Balsalazide,1100 mg/kg,0.25 d,Water,Liver,False,IPOKCKJONYRRHP,True,True,drugmatrix_liver
GSM1393987,S011002-270_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96629.CEL,Allyl Alcohol,25 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393988,S011002-275_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_7 d_Male_96630.CEL,Allyl Alcohol,25 mg/kg,7 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
